"City","Latitude","Longitude","Crime_Type","Year","Count"
"Mukkam","11.3166","75.9497","Molestation","2023","6"
"Mukkam","11.3166","75.9497","Molestation","2024","0"
"Mukkam","11.3166","75.9497","Molestation","2025","9"
"Mukkam","11.3166","75.9497","Indecent representation of women Act","2014","1"
"Mukkam","11.3166","75.9497","Indecent representation of women Act","2015","0"
"Mukkam","11.3166","75.9497","Indecent representation of women Act","2016","0"
"Mukkam","11.3166","75.9497","Indecent representation of women Act","2017","0"
"Mukkam","11.3166","75.9497","Indecent representation of women Act","2018","0"
"Mukkam","11.3166","75.9497","Indecent representation of women Act","2019","0"
"Mukkam","11.3166","75.9497","Indecent representation of women Act","2020","0"
"Mukkam","11.3166","75.9497","Indecent representation of women Act","2021","0"
"Mukkam","11.3166","75.9497","Indecent representation of women Act","2022","0"
"Mukkam","11.3166","75.9497","Indecent representation of women Act","2023","0"
"Mukkam","11.3166","75.9497","Indecent representation of women Act","2024","0"
"Mukkam","11.3166","75.9497","Indecent representation of women Act","2025","0"
"Mukkam","11.3166","75.9497","Dowry Prohibition Act","2014","0"
"Mukkam","11.3166","75.9497","Dowry Prohibition Act","2015","0"
"Mukkam","11.3166","75.9497","Dowry Prohibition Act","2016","0"
"Mukkam","11.3166","75.9497","Dowry Prohibition Act","2017","0"
"Mukkam","11.3166","75.9497","Dowry Prohibition Act","2018","0"
"Mukkam","11.3166","75.9497","Dowry Prohibition Act","2019","0"
"Mukkam","11.3166","75.9497","Dowry Prohibition Act","2020","0"
"Mukkam","11.3166","75.9497","Dowry Prohibition Act","2021","0"
"Mukkam","11.3166","75.9497","Dowry Prohibition Act","2022","0"
"Mukkam","11.3166","75.9497","Dowry Prohibition Act","2023","0"
"Mukkam","11.3166","75.9497","Dowry Prohibition Act","2024","0"
"Mukkam","11.3166","75.9497","Dowry Prohibition Act","2025","0"
"Mukkam","11.3166","75.9497","Immoral Traffic (P) Act","2014","0"
"Mukkam","11.3166","75.9497","Immoral Traffic (P) Act","2015","0"
"Mukkam","11.3166","75.9497","Immoral Traffic (P) Act","2016","0"
"Mukkam","11.3166","75.9497","Immoral Traffic (P) Act","2017","0"
"Mukkam","11.3166","75.9497","Immoral Traffic (P) Act","2018","0"
"Mukkam","11.3166","75.9497","Immoral Traffic (P) Act","2019","0"
"Mukkam","11.3166","75.9497","Immoral Traffic (P) Act","2020","0"
"Mukkam","11.3166","75.9497","Immoral Traffic (P) Act","2021","0"
"Mukkam","11.3166","75.9497","Immoral Traffic (P) Act","2022","0"
"Mukkam","11.3166","75.9497","Immoral Traffic (P) Act","2023","0"
"Mukkam","11.3166","75.9497","Immoral Traffic (P) Act","2024","0"
"Mukkam","11.3166","75.9497","Immoral Traffic (P) Act","2025","0"
"Koduvally","11.3667","75.8833","Murder","2014","0"
"Koduvally","11.3667","75.8833","Murder","2015","1"
"Koduvally","11.3667","75.8833","Murder","2016","0"
"Koduvally","11.3667","75.8833","Murder","2017","0"
"Koduvally","11.3667","75.8833","Murder","2018","0"
"Koduvally","11.3667","75.8833","Murder","2019","0"
"Koduvally","11.3667","75.8833","Murder","2020","0"
"Koduvally","11.3667","75.8833","Murder","2021","0"
"Koduvally","11.3667","75.8833","Murder","2022","0"
"Koduvally","11.3667","75.8833","Murder","2023","0"
"Koduvally","11.3667","75.8833","Murder","2024","0"
"Koduvally","11.3667","75.8833","Cruelty by husband or relatives","2014","24"
"Koduvally","11.3667","75.8833","Cruelty by husband or relatives","2015","13"
"Koduvally","11.3667","75.8833","Cruelty by husband or relatives","2016","12"
"Koduvally","11.3667","75.8833","Cruelty by husband or relatives","2017","12"
"Koduvally","11.3667","75.8833","Cruelty by husband or relatives","2018","10"
"Koduvally","11.3667","75.8833","Cruelty by husband or relatives","2019","14"
"Koduvally","11.3667","75.8833","Cruelty by husband or relatives","2020","13"
"Koduvally","11.3667","75.8833","Cruelty by husband or relatives","2021","6"
"Koduvally","11.3667","75.8833","Cruelty by husband or relatives","2022","39"
"Koduvally","11.3667","75.8833","Cruelty by husband or relatives","2023","16"
"Koduvally","11.3667","75.8833","Cruelty by husband or relatives","2024","22"
"Koduvally","11.3667","75.8833","Rape","2014","2"
"Koduvally","11.3667","75.8833","Rape","2015","2"
"Koduvally","11.3667","75.8833","Rape","2016","3"
"Koduvally","11.3667","75.8833","Rape","2017","5"
"Koduvally","11.3667","75.8833","Rape","2018","10"
"Koduvally","11.3667","75.8833","Rape","2019","10"
"Koduvally","11.3667","75.8833","Rape","2020","4"
"Koduvally","11.3667","75.8833","Rape","2021","3"
"Koduvally","11.3667","75.8833","Rape","2022","3"
"Koduvally","11.3667","75.8833","Rape","2023","6"
"Koduvally","11.3667","75.8833","Rape","2024","0"
"Koduvally","11.3667","75.8833","Sexual harassment","2014","9"
"Koduvally","11.3667","75.8833","Sexual harassment","2015","6"
"Koduvally","11.3667","75.8833","Sexual harassment","2016","3"
"Koduvally","11.3667","75.8833","Sexual harassment","2017","8"
"Koduvally","11.3667","75.8833","Sexual harassment","2018","4"
"Koduvally","11.3667","75.8833","Sexual harassment","2019","3"
"Koduvally","11.3667","75.8833","Sexual harassment","2020","6"
"Koduvally","11.3667","75.8833","Sexual harassment","2021","2"
"Koduvally","11.3667","75.8833","Sexual harassment","2022","1"
"Koduvally","11.3667","75.8833","Sexual harassment","2023","0"
"Koduvally","11.3667","75.8833","Sexual harassment","2024","0"
"Koduvally","11.3667","75.8833","Molestation","2014","12"
"Koduvally","11.3667","75.8833","Molestation","2015","12"
"Koduvally","11.3667","75.8833","Molestation","2016","9"
"Koduvally","11.3667","75.8833","Molestation","2017","5"
"Koduvally","11.3667","75.8833","Molestation","2018","9"
"Koduvally","11.3667","75.8833","Molestation","2019","10"
"Koduvally","11.3667","75.8833","Molestation","2020","7"
"Koduvally","11.3667","75.8833","Molestation","2021","7"
"Koduvally","11.3667","75.8833","Molestation","2022","14"
"Koduvally","11.3667","75.8833","Molestation","2023","15"
"Koduvally","11.3667","75.8833","Molestation","2024","9"
"Koduvally","11.3667","75.8833","Attempt to commit murder","2014","5"
"Koduvally","11.3667","75.8833","Attempt to commit murder","2015","5"
"Koduvally","11.3667","75.8833","Attempt to commit murder","2016","1"
"Koduvally","11.3667","75.8833","Attempt to commit murder","2017","0"
"Koduvally","11.3667","75.8833","Attempt to commit murder","2018","0"
"Koduvally","11.3667","75.8833","Attempt to commit murder","2019","3"
"Koduvally","11.3667","75.8833","Attempt to commit murder","2020","0"
"Koduvally","11.3667","75.8833","Attempt to commit murder","2021","0"
"Koduvally","11.3667","75.8833","Attempt to commit murder","2022","0"
"Koduvally","11.3667","75.8833","Attempt to commit murder","2023","4"
"Koduvally","11.3667","75.8833","Attempt to commit murder","2024","8"
"Koduvally","11.3667","75.8833","Dowry Deaths(304(B) IPC)","2014","0"
"Koduvally","11.3667","75.8833","Dowry Deaths(304(B) IPC)","2015","0"
"Koduvally","11.3667","75.8833","Dowry Deaths(304(B) IPC)","2016","0"
"Koduvally","11.3667","75.8833","Dowry Deaths(304(B) IPC)","2017","1"
"Koduvally","11.3667","75.8833","Dowry Deaths(304(B) IPC)","2018","0"
"Koduvally","11.3667","75.8833","Dowry Deaths(304(B) IPC)","2019","0"
"Koduvally","11.3667","75.8833","Dowry Deaths(304(B) IPC)","2020","0"
"Koduvally","11.3667","75.8833","Dowry Deaths(304(B) IPC)","2021","0"
"Koduvally","11.3667","75.8833","Dowry Deaths(304(B) IPC)","2022","0"
"Koduvally","11.3667","75.8833","Dowry Deaths(304(B) IPC)","2023","0"
"Koduvally","11.3667","75.8833","Dowry Deaths(304(B) IPC)","2024","0"
"Koduvally","11.3667","75.8833","Kidnapping & abduction - of women & girls","2014","0"
"Koduvally","11.3667","75.8833","Kidnapping & abduction - of women & girls","2015","0"
"Koduvally","11.3667","75.8833","Kidnapping & abduction - of women & girls","2016","0"
"Koduvally","11.3667","75.8833","Kidnapping & abduction - of women & girls","2017","7"
"Koduvally","11.3667","75.8833","Kidnapping & abduction - of women & girls","2018","2"
"Koduvally","11.3667","75.8833","Kidnapping & abduction - of women & girls","2019","0"
"Koduvally","11.3667","75.8833","Kidnapping & abduction - of women & girls","2020","0"
"Koduvally","11.3667","75.8833","Kidnapping & abduction - of women & girls","2021","1"
"Koduvally","11.3667","75.8833","Kidnapping & abduction - of women & girls","2022","0"
"Koduvally","11.3667","75.8833","Kidnapping & abduction - of women & girls","2023","0"
"Koduvally","11.3667","75.8833","Kidnapping & abduction - of women & girls","2024","0"
"Koduvally","11.3667","75.8833","Dowry Prohibition Act","2014","0"
"Koduvally","11.3667","75.8833","Dowry Prohibition Act","2015","0"
"Koduvally","11.3667","75.8833","Dowry Prohibition Act","2016","0"
"Koduvally","11.3667","75.8833","Dowry Prohibition Act","2017","0"
"Koduvally","11.3667","75.8833","Dowry Prohibition Act","2018","0"
"Koduvally","11.3667","75.8833","Dowry Prohibition Act","2019","0"
"Koduvally","11.3667","75.8833","Dowry Prohibition Act","2020","0"
"Koduvally","11.3667","75.8833","Dowry Prohibition Act","2021","0"
"Koduvally","11.3667","75.8833","Dowry Prohibition Act","2022","0"
"Koduvally","11.3667","75.8833","Dowry Prohibition Act","2023","0"
"Koduvally","11.3667","75.8833","Dowry Prohibition Act","2024","0"
"Koduvally","11.3667","75.8833","Immoral Traffic (P) Act","2014","0"
"Koduvally","11.3667","75.8833","Immoral Traffic (P) Act","2015","0"
"Koduvally","11.3667","75.8833","Immoral Traffic (P) Act","2016","0"
"Koduvally","11.3667","75.8833","Immoral Traffic (P) Act","2017","0"
"Koduvally","11.3667","75.8833","Immoral Traffic (P) Act","2018","0"
"Koduvally","11.3667","75.8833","Immoral Traffic (P) Act","2019","0"
"Koduvally","11.3667","75.8833","Immoral Traffic (P) Act","2020","0"
"Koduvally","11.3667","75.8833","Immoral Traffic (P) Act","2021","0"
"Koduvally","11.3667","75.8833","Immoral Traffic (P) Act","2022","0"
"Koduvally","11.3667","75.8833","Immoral Traffic (P) Act","2023","0"
"Koduvally","11.3667","75.8833","Immoral Traffic (P) Act","2024","0"
"Koduvally","11.3667","75.8833","Indecent representation of women Act","2014","0"
"Koduvally","11.3667","75.8833","Indecent representation of women Act","2015","0"
"Koduvally","11.3667","75.8833","Indecent representation of women Act","2016","0"
"Koduvally","11.3667","75.8833","Indecent representation of women Act","2017","0"
"Koduvally","11.3667","75.8833","Indecent representation of women Act","2018","0"
"Koduvally","11.3667","75.8833","Indecent representation of women Act","2019","0"
"Koduvally","11.3667","75.8833","Indecent representation of women Act","2020","0"
"Koduvally","11.3667","75.8833","Indecent representation of women Act","2021","0"
"Koduvally","11.3667","75.8833","Indecent representation of women Act","2022","0"
"Koduvally","11.3667","75.8833","Indecent representation of women Act","2023","0"
"Koduvally","11.3667","75.8833","Indecent representation of women Act","2024","0"
"Kunnamangalam","11.332","75.7878","Dowry Deaths(304(B) IPC)","2014","1"
"Kunnamangalam","11.332","75.7878","Dowry Deaths(304(B) IPC)","2015","0"
"Kunnamangalam","11.332","75.7878","Dowry Deaths(304(B) IPC)","2016","0"
"Kunnamangalam","11.332","75.7878","Dowry Deaths(304(B) IPC)","2017","0"
"Kunnamangalam","11.332","75.7878","Dowry Deaths(304(B) IPC)","2018","0"
"Kunnamangalam","11.332","75.7878","Dowry Deaths(304(B) IPC)","2019","1"
"Kunnamangalam","11.332","75.7878","Dowry Deaths(304(B) IPC)","2020","0"
"Kunnamangalam","11.332","75.7878","Dowry Deaths(304(B) IPC)","2021","0"
"Kunnamangalam","11.332","75.7878","Dowry Deaths(304(B) IPC)","2022","0"
"Kunnamangalam","11.332","75.7878","Rape","2014","1"
"Kunnamangalam","11.332","75.7878","Rape","2015","3"
"Kunnamangalam","11.332","75.7878","Rape","2016","3"
"Kunnamangalam","11.332","75.7878","Rape","2017","10"
"Kunnamangalam","11.332","75.7878","Rape","2018","3"
"Kunnamangalam","11.332","75.7878","Rape","2019","7"
"Kunnamangalam","11.332","75.7878","Rape","2020","4"
"Kunnamangalam","11.332","75.7878","Rape","2021","6"
"Kunnamangalam","11.332","75.7878","Rape","2022","3"
"Kunnamangalam","11.332","75.7878","Cruelty by husband or relatives","2014","22"
"Kunnamangalam","11.332","75.7878","Cruelty by husband or relatives","2015","15"
"Kunnamangalam","11.332","75.7878","Cruelty by husband or relatives","2016","12"
"Kunnamangalam","11.332","75.7878","Cruelty by husband or relatives","2017","7"
"Kunnamangalam","11.332","75.7878","Cruelty by husband or relatives","2018","7"
"Kunnamangalam","11.332","75.7878","Cruelty by husband or relatives","2019","19"
"Kunnamangalam","11.332","75.7878","Cruelty by husband or relatives","2020","13"
"Kunnamangalam","11.332","75.7878","Cruelty by husband or relatives","2021","3"
"Kunnamangalam","11.332","75.7878","Cruelty by husband or relatives","2022","15"
"Kunnamangalam","11.332","75.7878","Sexual harassment","2014","0"
"Kunnamangalam","11.332","75.7878","Sexual harassment","2015","0"
"Kunnamangalam","11.332","75.7878","Sexual harassment","2016","0"
"Kunnamangalam","11.332","75.7878","Sexual harassment","2017","2"
"Kunnamangalam","11.332","75.7878","Sexual harassment","2018","1"
"Kunnamangalam","11.332","75.7878","Sexual harassment","2019","1"
"Kunnamangalam","11.332","75.7878","Sexual harassment","2020","1"
"Kunnamangalam","11.332","75.7878","Sexual harassment","2021","0"
"Kunnamangalam","11.332","75.7878","Sexual harassment","2022","0"
"Kunnamangalam","11.332","75.7878","Attempt to commit murder","2014","2"
"Kunnamangalam","11.332","75.7878","Attempt to commit murder","2015","2"
"Kunnamangalam","11.332","75.7878","Attempt to commit murder","2016","2"
"Kunnamangalam","11.332","75.7878","Attempt to commit murder","2017","2"
"Kunnamangalam","11.332","75.7878","Attempt to commit murder","2018","1"
"Kunnamangalam","11.332","75.7878","Attempt to commit murder","2019","1"
"Kunnamangalam","11.332","75.7878","Attempt to commit murder","2020","1"
"Kunnamangalam","11.332","75.7878","Attempt to commit murder","2021","0"
"Kunnamangalam","11.332","75.7878","Attempt to commit murder","2022","1"
"Kunnamangalam","11.332","75.7878","Kidnapping & abduction - of women & girls","2014","0"
"Kunnamangalam","11.332","75.7878","Kidnapping & abduction - of women & girls","2015","0"
"Kunnamangalam","11.332","75.7878","Kidnapping & abduction - of women & girls","2016","0"
"Kunnamangalam","11.332","75.7878","Kidnapping & abduction - of women & girls","2017","1"
"Kunnamangalam","11.332","75.7878","Kidnapping & abduction - of women & girls","2018","1"
"Kunnamangalam","11.332","75.7878","Kidnapping & abduction - of women & girls","2019","2"
"Kunnamangalam","11.332","75.7878","Kidnapping & abduction - of women & girls","2020","0"
"Kunnamangalam","11.332","75.7878","Kidnapping & abduction - of women & girls","2021","1"
"Kunnamangalam","11.332","75.7878","Kidnapping & abduction - of women & girls","2022","0"
"Kunnamangalam","11.332","75.7878","Molestation","2014","16"
"Kunnamangalam","11.332","75.7878","Molestation","2015","12"
"Kunnamangalam","11.332","75.7878","Molestation","2016","14"
"Kunnamangalam","11.332","75.7878","Molestation","2017","5"
"Kunnamangalam","11.332","75.7878","Molestation","2018","20"
"Kunnamangalam","11.332","75.7878","Molestation","2019","22"
"Kunnamangalam","11.332","75.7878","Molestation","2020","10"
"Kunnamangalam","11.332","75.7878","Molestation","2021","2"
"Kunnamangalam","11.332","75.7878","Molestation","2022","12"
"Kunnamangalam","11.332","75.7878","Murder","2014","0"
"Kunnamangalam","11.332","75.7878","Murder","2015","1"
"Kunnamangalam","11.332","75.7878","Murder","2016","1"
"Kunnamangalam","11.332","75.7878","Murder","2017","3"
"Kunnamangalam","11.332","75.7878","Murder","2018","1"
"Kunnamangalam","11.332","75.7878","Murder","2019","1"
"Kunnamangalam","11.332","75.7878","Murder","2020","0"
"Kunnamangalam","11.332","75.7878","Murder","2021","0"
"Kunnamangalam","11.332","75.7878","Murder","2022","0"
"Thamarassery","11.4149","75.9367","Dowry Deaths(304(B) IPC)","2014","0"
"Thamarassery","11.4149","75.9367","Dowry Deaths(304(B) IPC)","2015","0"
"Thamarassery","11.4149","75.9367","Dowry Deaths(304(B) IPC)","2016","0"
"Thamarassery","11.4149","75.9367","Dowry Deaths(304(B) IPC)","2017","0"
"Thamarassery","11.4149","75.9367","Dowry Deaths(304(B) IPC)","2018","0"
"Thamarassery","11.4149","75.9367","Dowry Deaths(304(B) IPC)","2019","0"
"Thamarassery","11.4149","75.9367","Dowry Deaths(304(B) IPC)","2020","0"
"Thamarassery","11.4149","75.9367","Dowry Deaths(304(B) IPC)","2021","0"
"Thamarassery","11.4149","75.9367","Dowry Deaths(304(B) IPC)","2022","0"
"Thamarassery","11.4149","75.9367","Dowry Deaths(304(B) IPC)","2023","0"
"Thamarassery","11.4149","75.9367","Dowry Deaths(304(B) IPC)","2024","0"
"Thamarassery","11.4149","75.9367","Dowry Deaths(304(B) IPC)","2025","0"
"Thamarassery","11.4149","75.9367","Rape","2014","3"
"Thamarassery","11.4149","75.9367","Rape","2015","1"
"Thamarassery","11.4149","75.9367","Rape","2016","3"
"Thamarassery","11.4149","75.9367","Rape","2017","8"
"Thamarassery","11.4149","75.9367","Rape","2018","12"
"Thamarassery","11.4149","75.9367","Rape","2019","9"
"Thamarassery","11.4149","75.9367","Rape","2020","6"
"Thamarassery","11.4149","75.9367","Rape","2021","0"
"Thamarassery","11.4149","75.9367","Rape","2022","9"
"Thamarassery","11.4149","75.9367","Rape","2023","4"
"Thamarassery","11.4149","75.9367","Rape","2024","10"
"Thamarassery","11.4149","75.9367","Rape","2025","4"
"Thamarassery","11.4149","75.9367","Attempt to commit murder","2014","6"
"Thamarassery","11.4149","75.9367","Attempt to commit murder","2015","6"
"Thamarassery","11.4149","75.9367","Attempt to commit murder","2016","1"
"Thamarassery","11.4149","75.9367","Attempt to commit murder","2017","0"
"Thamarassery","11.4149","75.9367","Attempt to commit murder","2018","1"
"Thamarassery","11.4149","75.9367","Attempt to commit murder","2019","2"
"Thamarassery","11.4149","75.9367","Attempt to commit murder","2020","0"
"Thamarassery","11.4149","75.9367","Attempt to commit murder","2021","0"
"Thamarassery","11.4149","75.9367","Attempt to commit murder","2022","2"
"Thamarassery","11.4149","75.9367","Attempt to commit murder","2023","8"
"Thamarassery","11.4149","75.9367","Attempt to commit murder","2024","11"
"Thamarassery","11.4149","75.9367","Attempt to commit murder","2025","26"
"Thamarassery","11.4149","75.9367","Cruelty by husband or relatives","2014","35"
"Thamarassery","11.4149","75.9367","Cruelty by husband or relatives","2015","36"
"Thamarassery","11.4149","75.9367","Cruelty by husband or relatives","2016","21"
"Thamarassery","11.4149","75.9367","Cruelty by husband or relatives","2017","33"
"Thamarassery","11.4149","75.9367","Cruelty by husband or relatives","2018","16"
"Thamarassery","11.4149","75.9367","Cruelty by husband or relatives","2019","30"
"Thamarassery","11.4149","75.9367","Cruelty by husband or relatives","2020","25"
"Thamarassery","11.4149","75.9367","Cruelty by husband or relatives","2021","3"
"Thamarassery","11.4149","75.9367","Cruelty by husband or relatives","2022","50"
"Thamarassery","11.4149","75.9367","Cruelty by husband or relatives","2023","53"
"Thamarassery","11.4149","75.9367","Cruelty by husband or relatives","2024","42"
"Thamarassery","11.4149","75.9367","Cruelty by husband or relatives","2025","57"
"Thamarassery","11.4149","75.9367","Murder","2014","1"
"Thamarassery","11.4149","75.9367","Murder","2015","1"
"Thamarassery","11.4149","75.9367","Murder","2016","0"
"Thamarassery","11.4149","75.9367","Murder","2017","0"
"Thamarassery","11.4149","75.9367","Murder","2018","3"
"Thamarassery","11.4149","75.9367","Murder","2019","2"
"Thamarassery","11.4149","75.9367","Murder","2020","1"
"Thamarassery","11.4149","75.9367","Murder","2021","0"
"Thamarassery","11.4149","75.9367","Murder","2022","0"
"Thamarassery","11.4149","75.9367","Murder","2023","1"
"Thamarassery","11.4149","75.9367","Murder","2024","0"
"Thamarassery","11.4149","75.9367","Murder","2025","3"
"Thamarassery","11.4149","75.9367","Kidnapping & abduction - of women & girls","2014","1"
"Thamarassery","11.4149","75.9367","Kidnapping & abduction - of women & girls","2015","0"
"Thamarassery","11.4149","75.9367","Kidnapping & abduction - of women & girls","2016","1"
"Thamarassery","11.4149","75.9367","Kidnapping & abduction - of women & girls","2017","0"
"Thamarassery","11.4149","75.9367","Kidnapping & abduction - of women & girls","2018","0"
"Thamarassery","11.4149","75.9367","Kidnapping & abduction - of women & girls","2019","3"
"Thamarassery","11.4149","75.9367","Kidnapping & abduction - of women & girls","2020","1"
"Thamarassery","11.4149","75.9367","Kidnapping & abduction - of women & girls","2021","3"
"Thamarassery","11.4149","75.9367","Kidnapping & abduction - of women & girls","2022","3"
"Thamarassery","11.4149","75.9367","Kidnapping & abduction - of women & girls","2023","0"
"Thamarassery","11.4149","75.9367","Kidnapping & abduction - of women & girls","2024","0"
"Thamarassery","11.4149","75.9367","Kidnapping & abduction - of women & girls","2025","0"
"Thamarassery","11.4149","75.9367","Sexual harassment","2014","6"
"Thamarassery","11.4149","75.9367","Sexual harassment","2015","7"
"Thamarassery","11.4149","75.9367","Sexual harassment","2016","7"
"Thamarassery","11.4149","75.9367","Sexual harassment","2017","0"
"Thamarassery","11.4149","75.9367","Sexual harassment","2018","0"
"Thamarassery","11.4149","75.9367","Sexual harassment","2019","0"
"Thamarassery","11.4149","75.9367","Sexual harassment","2020","2"
"Thamarassery","11.4149","75.9367","Sexual harassment","2021","3"
"Thamarassery","11.4149","75.9367","Sexual harassment","2022","0"
"Thamarassery","11.4149","75.9367","Sexual harassment","2023","0"
"Thamarassery","11.4149","75.9367","Sexual harassment","2024","0"
"Thamarassery","11.4149","75.9367","Sexual harassment","2025","0"
"Thamarassery","11.4149","75.9367","Molestation","2014","20"
